order_id,order_date,store_id,customer_type,order_amount,items_count,customer_rating
ORDNE01240104584C,2024-01-04,NE01,returning,299.85,2,4
ORDNE012401048F12,2024-01-04,NE01,new,149.48,11,2
ORDNE01240104CF1C,2024-01-04,NE01,returning,224.05,9,5
ORDNE01240104E8AB,2024-01-04,NE01,returning,447.21,10,3
ORDNE012401048876,2024-01-04,NE01,returning,458.33,2,5
ORDNE012401045B19,2024-01-04,NE01,returning,386.55,9,1
ORDNE012401049B3E,2024-01-04,NE01,new,205.93,10,3
ORDNE01240104F2A8,2024-01-04,NE01,returning,164.48,6,2
ORDNE01240104797A,2024-01-04,NE01,new,247.10,11,5
ORDNE01240104A383,2024-01-04,NE01,returning,362.46,12,4
ORDNE01240104F3A2,2024-01-04,NE01,new,392.06,8,2
ORDNE012401043E33,2024-01-04,NE01,new,18.47,9,1
ORDNE01240104B6E4,2024-01-04,NE01,returning,486.47,11,3
ORDNE0124010419C6,2024-01-04,NE01,new,416.48,12,1
ORDNE01240104AC69,2024-01-04,NE01,returning,296.20,4,2
ORDNE01240104859C,2024-01-04,NE01,new,281.89,2,5
ORDNE012401041477,2024-01-04,NE01,returning,492.98,2,1
ORDNE0124010401EB,2024-01-04,NE01,returning,196.48,12,3
ORDNE012401041985,2024-01-04,NE01,returning,48.01,9,1
ORDNE012401045F12,2024-01-04,NE01,returning,159.57,5,4
ORDNE012401045AC6,2024-01-04,NE01,new,126.11,12,4
ORDNE01240104BE9D,2024-01-04,NE01,returning,221.32,7,2
ORDNE01240104782D,2024-01-04,NE01,new,202.81,3,3
ORDNE012401040D86,2024-01-04,NE01,returning,115.36,9,4
ORDNE01240104CE1B,2024-01-04,NE01,new,234.08,7,4
ORDNE012401044630,2024-01-04,NE01,returning,416.04,10,1
ORDNE012401045260,2024-01-04,NE01,returning,13.51,5,4
ORDNE01240104F65E,2024-01-04,NE01,returning,275.17,3,2
ORDNE0124010491B5,2024-01-04,NE01,new,460.10,8,4
ORDNE012401046691,2024-01-04,NE01,new,202.08,2,1
ORDNE012401049CDA,2024-01-04,NE01,returning,329.65,5,5
ORDNE01240104C8F2,2024-01-04,NE01,returning,350.49,3,4
ORDNE012401041B26,2024-01-04,NE01,returning,64.50,3,1
ORDNE01240104804B,2024-01-04,NE01,new,304.76,9,2
ORDNE0124010490EA,2024-01-04,NE01,returning,162.37,11,4
ORDNE012401044840,2024-01-04,NE01,returning,443.49,11,2
ORDNE01240104A479,2024-01-04,NE01,new,307.05,3,4
